ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.38482E+16,2.43688E+15,3.99603E+16,6.69766E+15,2.97186E+15,4.37728E+15,1.59675E+16,5.49303E+15,4.145E+16,0
946266601699853,2.25399E+15,1.22246E+16,2.98138E+16,3.87099E+16,485697274121007,1.32044E+16,6.22977E+15,2.85018E+15,0
7.86815E+15,1.99036E+15,2.04341E+16,6.21099E+15,3.37916E+15,5.49415E+15,1.65016E+15,,4.3159E+15,0
5.87316E+15,1.53673E+16,2.19108E+16,9.75288E+15,3.19357E+16,3.52456E+15,1.41541E+15,6.52346E+15,5.12089E+15,0
,1.86873E+15,2.60045E+16,8.49353E+15,3.20693E+15,5.3413E+15,1.989E+16,5.4374E+15,514411422012617,0
6.5293E+15,2.10004E+15,2.89701E+15,4.25015E+15,,4.22818E+15,7.0913E+15,8.36902E+15,3.36109E+15,0
5.1522E+15,2.07299E+16,2.70001E+15,6.69181E+15,,3.50005E+15,1.24905E+16,4.9853E+16,4.68984E+15,0
7.85866E+15,2.10955E+16,2.67039E+16,6.50907E+15,3.41342E+15,37407284473023,8.81199E+15,7.27998E+15,342247052094365,0
7.70441E+15,2.34636E+16,2.20574E+16,812440319025818,,3.974E+15,1.48976E+16,5.09204E+15,3.03136E+16,0
6.728E+15,2.01127E+16,2.28888E+16,7.66399E+15,3.19463E+16,3.25538E+15,1.67883E+16,5.89612E+15,4.4107E+15,0
1.04645E+16,1.90995E+16,6.70078E+15,6.87986E+15,,4.98932E+16,1.45622E+16,6.67016E+15,4.95636E+15,0
9.11279E+15,2.05941E+16,2.08686E+16,6.96279E+15,3.30934E+15,4.22039E+15,161289756490051,7.77965E+15,4.56709E+15,0
807980835815327,1.74161E+15,1.26778E+15,7.29521E+15,3.33583E+16,5.89552E+15,1.48522E+16,3.95294E+15,3.61106E+16,0
7.07866E+15,2.32582E+15,2.61778E+15,3.91435E+16,3.34161E+15,3.8046E+16,9.63363E+15,4.19519E+15,3.69664E+16,0
,1.39331E+15,2.91221E+16,1.03382E+16,3.43318E+16,532885196073215,1.10783E+16,4.21728E+15,4.0931E+15,0
8.04389E+15,1.69688E+16,8.8962E+15,7.83786E+15,32893981708544,4.30837E+16,1.22635E+15,7.63342E+15,3.15995E+16,0
7.04024E+15,1.92956E+16,2.09884E+16,6.42236E+15,3.20949E+16,3.81357E+15,1.53965E+16,8.82985E+15,3.99341E+16,0
5.48397E+15,1.66162E+16,2.1145E+16,7.60761E+15,3.22733E+16,3.06356E+15,1.4171E+16,6.41365E+15,4.06361E+15,0
8.53441E+15,2.48577E+16,2.23723E+16,2.99374E+16,3.66146E+15,34176019789426,1.46929E+15,787089366195172,2.54473E+16,0
726659453474728,1.76854E+16,1.48591E+16,8.26178E+15,3.27172E+16,4.45037E+15,1.99237E+15,870661309776802,3.35744E+15,0
6.25665E+15,1.81072E+15,1.69058E+15,1.15862E+16,,4.81307E+15,1.06397E+16,7.45572E+15,4.18105E+15,0
7.24035E+15,2.01997E+16,1.44627E+16,6.73718E+16,3.14043E+16,5.34801E+15,1.42138E+16,8.29458E+15,3.78297E+15,0
8.69212E+15,1.44236E+15,2.55296E+15,9.20263E+15,3.47975E+15,5.17427E+15,1.39634E+15,4.23887E+16,2.28348E+15,0
8.63954E+15,1.68614E+16,7.01321E+15,84516010448867,3.55214E+15,4.19789E+15,1.79294E+16,3.36415E+16,4.19293E+15,0
7.17986E+15,1.80854E+16,1.08596E+15,8.2635E+15,3.41302E+15,3.58056E+16,1.20653E+16,8.33299E+15,3.87845E+16,0
7.164E+15,2.03782E+16,3.42261E+16,9.41203E+15,3.20259E+16,4.15578E+15,1.6221E+16,9.01842E+15,3.35432E+16,0
8.92611E+15,1.89988E+16,1.52496E+16,707622168565009,3.41527E+16,3.61902E+16,2.12781E+16,,2.75213E+15,0
635311030182946,2.0627E+15,1.8409E+16,3.72378E+15,3.4821E+16,3.89683E+16,1.32054E+15,6.02913E+15,2.85618E+15,0
6.68155E+15,2.38512E+16,2.61322E+15,630445910663101,3.09237E+16,3.26026E+16,813822749145828,4.60873E+15,2.95675E+16,0
544532598066911,2.01379E+16,2.80011E+15,7.20895E+15,3.31587E+16,3.65092E+16,1.17888E+16,6.59446E+15,3.94699E+15,0
7.53988E+15,1.85826E+16,2.15752E+16,7.443E+15,3.3308E+16,4.44117E+16,1.58306E+16,4.9068E+15,4.53159E+15,0
,1.99918E+16,1.53355E+16,8.09238E+15,3.03327E+15,3.99605E+15,1.18217E+16,5.82223E+15,4.48246E+15,0
4.37048E+15,1.88654E+15,2.95423E+16,8.11711E+15,3.01022E+16,4.56308E+15,1.63468E+15,4.66969E+15,464938203413864,0
1.03164E+16,2.17267E+15,1.06765E+16,3.44551E+15,3.97755E+15,4.92206E+16,1.28127E+16,7.22819E+15,3.40735E+16,0
6.59959E+15,1.98323E+16,2.10789E+16,623423148205243,3.31496E+16,4.47988E+15,1.29363E+15,5.98336E+16,4.70231E+15,0
4.19758E+15,1.89474E+16,3.12921E+16,7.1052E+15,,3.70771E+15,1.19864E+16,503228304212554,5.20648E+15,0
7.92079E+15,1.73357E+16,1.34546E+16,6.9479E+15,3.56768E+16,4.71369E+16,1.64778E+15,6.80005E+15,3.37433E+16,0
6.33073E+15,1.66738E+16,1.83972E+16,8.07643E+15,,4.36992E+15,1.29052E+16,6.76486E+15,3.94E+16,0
,1.81296E+16,2.34339E+15,7.72959E+15,,329740861722908,1.22757E+16,3.87568E+15,5.12835E+15,0
776414261000218,1.86132E+16,2.59261E+16,8.01121E+15,,3.99132E+16,2.28465E+15,3.52437E+15,4.10518E+15,0
8.23714E+15,1.9006E+16,2.00154E+15,8.38522E+15,3.56092E+15,3.77682E+16,1.77409E+16,3.77139E+15,493910944137509,0
5.67923E+16,1.88189E+16,3.56432E+15,8.88265E+15,3.22169E+15,2.56303E+15,1.50003E+16,,2.33957E+16,0
7.41757E+15,1.93772E+15,2.32071E+16,7.47212E+15,,4.96105E+15,1.57444E+16,7.31875E+15,4.67156E+15,0
4.77598E+15,1.96274E+16,1.91858E+15,4.94293E+15,3.29144E+15,4.59084E+15,1.33709E+15,8.45842E+15,4.38216E+15,0
7.86509E+15,2.10039E+15,1.43106E+15,6.6129E+15,,4.03361E+16,1.28793E+16,7.41348E+15,4.79503E+15,0
5.90347E+15,2.01864E+15,2.53941E+16,7.69215E+15,313648071698207,4.3472E+15,1.80067E+16,5.99722E+15,4.58709E+16,0
7.70571E+15,1.78923E+16,1.84766E+16,8.22623E+15,3.3489E+16,5.18043E+15,1.06388E+16,6.31575E+15,3.86196E+16,0
7.81512E+15,1.90314E+15,2.02291E+16,9.18689E+15,3.35639E+15,3.79223E+15,1.49793E+16,7.34254E+15,3.09616E+15,0
6.13974E+15,1.68444E+16,2.38941E+16,949458169766203,3.18026E+15,4.94129E+15,1.9116E+15,6.02648E+15,3.84122E+15,0
5.04141E+15,1.93168E+16,173423140789379,7.84297E+15,3.22107E+15,4.44453E+15,1.74728E+16,6.65422E+15,4.54369E+15,0
8.67519E+15,2.00736E+16,1.50496E+16,8.63038E+15,3.56805E+15,4.41298E+15,1.78531E+15,7.45865E+15,4.97858E+15,0
7.68936E+16,2.21357E+16,3.02539E+16,6.26931E+15,3.20478E+16,5.29747E+15,1.79733E+15,8.46964E+15,4.97856E+15,0
857012912066282,2.00072E+16,9.78234E+15,5.6617E+15,,5.11162E+16,1.18561E+16,6.60484E+15,460440456098565,0
5.67176E+16,1.84782E+16,1.75277E+16,5.31476E+15,3.39056E+15,4.09479E+15,1.5196E+16,3.19418E+16,3.26869E+16,0
6.62481E+15,204342927508927,2.14433E+16,5.9804E+15,3.12315E+15,4.12997E+15,1.19651E+16,6.25203E+15,2.84091E+16,0
6.54101E+15,1.95567E+16,2.96165E+16,7.10863E+15,3.28999E+15,5.308E+15,1.18994E+16,6.81414E+15,2.35593E+15,0
,1.69189E+16,1.84083E+16,5.13184E+15,3.42938E+15,3.50894E+16,1.93342E+16,8.66773E+15,6739,0
9.2412E+15,2.23691E+16,2.16106E+15,4.11618E+16,,4.80013E+16,1.27254E+15,6.55507E+15,5.26573E+15,0
,1.62626E+16,2.1319E+15,7.57528E+15,2.89208E+16,4.57812E+16,7.47732E+15,6.02385E+16,4.51498E+15,0
6.34081E+15,1.58343E+15,1.52882E+16,7.59975E+15,3.42448E+15,3.34937E+16,9.23712E+15,3.81039E+15,5.45861E+16,0
5.98036E+15,1.81259E+16,1.18263E+16,3.6885E+16,3.56167E+15,543347976436273,882868891916479,6.02064E+15,424724014869094,0
7.60598E+15,1.72198E+16,1.09301E+16,8.43264E+15,,4.00706E+15,1.25604E+16,5.16438E+15,3.24285E+15,0
6.42751E+15,1.78327E+16,2.59937E+16,7.29455E+16,3.29695E+15,5.66755E+15,1.19743E+16,6.07367E+15,6.03299E+15,0
,1.96249E+16,1.79094E+16,3.67227E+16,,4.17287E+15,1.45571E+16,5.77347E+16,3.88824E+15,0
6.10907E+15,1.91756E+16,2.68539E+16,9.06461E+15,3.12202E+15,37554736167496,1.5514E+16,7.37897E+15,4.8811E+15,0
5.84293E+15,1.68295E+16,1.91561E+16,6.87835E+15,3.31478E+15,5.06757E+16,1.45262E+16,8.04237E+15,4.14322E+15,0
5.36755E+15,1.75433E+16,2.9009E+16,6.48144E+16,,4.63478E+16,1.93702E+15,672862078045105,4.26719E+15,0
5.34589E+15,1.84785E+16,2.22744E+16,972710331796349,3.1903E+15,4.92135E+15,1.18947E+15,8.72977E+15,2.95036E+16,0
5.38631E+15,2.12593E+16,4.01493E+16,8.12423E+15,3.18792E+15,3.55546E+15,1.73488E+16,6.42109E+15,3.66256E+16,0
9.91948E+15,2.07066E+15,1.65443E+16,703931085119713,3.63037E+15,2.78753E+16,1.70525E+16,4.42995E+16,4.11749E+15,0
,218302176410988,4.20613E+16,6.33118E+15,324541596304084,5.03139E+15,1.57121E+16,4.84978E+16,4.32803E+15,0
7.12146E+15,2.04164E+16,2.05744E+15,7.08915E+15,,353927593178135,1.64882E+15,5.70228E+15,3.7746E+16,0
9.4183E+15,1.7364E+15,8.77769E+15,8.45618E+15,3.58292E+16,5.96826E+15,1.67852E+15,1.05272E+16,4.60463E+15,0
7.45716E+16,2.63037E+16,3.10851E+15,1.68399E+16,,584604353693162,1.18094E+16,4.55014E+15,4.10654E+15,0
5.27223E+15,2.06313E+15,4.22109E+15,884971666468826,,4.10649E+15,1.1928E+15,4.65404E+15,5.06856E+15,0
7.29196E+15,2.02329E+16,2.18917E+16,7.62875E+15,3.39829E+16,3.7927E+16,765495568277089,6.40215E+15,4.23764E+15,0
7.80383E+15,2.23688E+16,3.73768E+15,6.66497E+15,,3.43764E+16,1.66974E+15,7.47824E+15,2.90739E+16,0
6.84435E+15,1.9746E+15,2.36089E+16,8.3964E+15,,526425914653086,1.08781E+16,6.20371E+15,2.87706E+16,0
5.60875E+15,1.52954E+15,1.9836E+16,9.34598E+15,3.23393E+15,5.96076E+15,1.43807E+16,4.94283E+16,4.64421E+15,0
5.70115E+16,2.33515E+16,4.14116E+15,5.89546E+15,3.10161E+15,5.09768E+15,226868367426506,7.37519E+15,3.40314E+15,0
5.41276E+15,2.26586E+16,4.55106E+15,70701852477538,3.07621E+16,4.20125E+16,2.19402E+16,5.88517E+16,4.09121E+15,0
,2.08177E+16,1.72648E+15,3.29616E+16,3.87071E+16,6.31304E+15,8.40457E+15,6.83006E+15,3.91215E+16,0
5.01813E+15,1.69397E+15,2.9072E+16,1.07115E+16,2.97013E+16,4.67218E+15,1.59138E+16,2.3793E+16,4.28648E+15,0
4.55224E+15,1.97077E+16,2.59692E+16,886542199854777,,4.61836E+15,1.28534E+16,6.93351E+15,3.9328E+15,0
,2.03506E+16,2.14176E+16,6.07264E+15,3.19523E+16,3.48527E+16,1.2613E+16,6.86425E+15,4.61358E+15,0
7.02531E+15,2.02809E+16,2.35029E+16,5.23901E+15,3.35549E+15,471131715895065,1.38915E+16,6.37519E+15,5.98954E+15,0
5.77062E+15,1.945E+16,1.61737E+16,6.3418E+15,318788932932303,3.8713E+16,1.20429E+16,5.25123E+15,4.24082E+15,0
8.43788E+15,1.83107E+15,1.28569E+15,740001948091398,3.6178E+15,5.87023E+15,1.59269E+16,7.79513E+15,3.81547E+15,0
590707826866672,2.13471E+15,4.18395E+15,7.92476E+15,3.1233E+16,357258970259906,1.5599E+15,5.44219E+16,4.29648E+16,0
6.89834E+16,1.87415E+16,1.90245E+16,6.91507E+15,,4.28787E+15,1.25802E+16,4.43802E+15,5.37128E+15,0
1.02527E+16,2.17737E+16,965187482568678,4.33835E+15,3.69298E+16,5.28122E+15,1.86614E+16,5.41504E+15,3.29037E+16,0
8.2065E+15,1.82905E+16,1.895E+16,6.66295E+15,3.47133E+15,3.32855E+15,1.83284E+16,6.66884E+15,4.22512E+15,0
7.28617E+15,2.08444E+15,3.0879E+15,6.85697E+15,3.36049E+16,3.52602E+15,105664520105654,6.40253E+15,4.68602E+15,0
8.8093E+15,2.26106E+16,1.81406E+15,4.93038E+15,3.20799E+16,3.50117E+15,1.43388E+16,6.43346E+15,3.87905E+15,0
6.6415E+15,1.98884E+16,2.78675E+16,7.32773E+15,318408397185988,573723762288018,1.31917E+16,8.15511E+15,4.69431E+15,0
6.14515E+15,1.97541E+15,3.96573E+15,9.90016E+15,2.88158E+15,3.19434E+15,1.15874E+16,1.2003E+16,4.60089E+16,0
5.90644E+15,1.77891E+15,2.72963E+16,8.86927E+15,312015798244762,3.85813E+16,1.39387E+16,6.06138E+16,4.8075E+15,0
5.38985E+15,1.63344E+16,1.96462E+15,9.09272E+15,3.14238E+15,4.9175E+16,1.54963E+16,4.86866E+16,3.57767E+16,0
5.00656E+15,1.60496E+16,2.72188E+15,115431904716461,2.89976E+15,3.03256E+16,1.65694E+15,7.06991E+15,3.66521E+16,0
6.50364E+15,1.63257E+16,1.50002E+15,7.64183E+15,3.34103E+15,5.17428E+15,1.75307E+15,3.77655E+16,4.96318E+15,0
9.60686E+15,2.00842E+16,1.89076E+15,7.51509E+15,,3.70904E+16,1.13587E+15,6.43712E+15,4.40535E+15,0
8.74223E+15,1.7941E+16,969435489610499,6.57713E+15,3.68504E+16,3.23744E+15,1.3925E+16,857793244470867,2.84239E+16,0
8.3944E+15,1.87643E+16,1.06031E+16,784026050655083,3.52836E+15,3.76241E+15,1.33748E+16,5.895E+15,2.8339E+16,0
,2.04924E+16,1.25568E+16,5.78901E+16,3.59952E+15,6.10768E+15,1.60126E+15,5.24423E+16,3.25774E+16,0
3.84121E+15,186917765461785,1.99886E+16,7.17495E+15,,4.83334E+15,1.34228E+16,7.43817E+15,3.63563E+16,0
4.30137E+15,1.48738E+16,2.66401E+16,9.24265E+15,3.16764E+15,3.65835E+16,1.25157E+16,5.40823E+16,3.06763E+16,0
9.89589E+15,2.10654E+16,1.31895E+16,4.94513E+15,,4.81137E+16,1.17635E+16,4.98519E+15,3.81343E+16,0
4.31944E+16,1.86056E+15,3.05656E+15,9.81117E+15,2.76834E+16,2.82687E+16,1.34487E+16,,3.24197E+16,0
8.31377E+15,1.96548E+16,1.1311E+16,5.31082E+15,364405067278873,6.07916E+15,8.45714E+15,7.66946E+15,4.29007E+15,0
,1.79149E+16,4.78497E+15,5.70219E+15,3.78398E+15,5.17496E+15,1.43872E+16,6.8687E+15,2.38008E+16,0
341035967073924,2.07397E+16,4.90747E+15,5.66743E+15,3.01975E+16,3.5152E+16,1.59874E+16,8.66392E+15,3.72177E+15,0
7.51094E+15,1.82193E+16,1.71009E+16,5.94878E+15,3.57266E+16,4.99095E+16,2.07258E+16,6.06709E+15,3.34241E+16,0
6.97829E+15,1.91858E+16,2.61896E+16,7.27943E+16,3.17184E+15,5.64648E+15,1.94269E+16,5.05065E+16,4.93188E+15,0
,1.64378E+16,1.59086E+16,1.12087E+16,,3.60814E+16,1.72396E+16,601791185610558,4.38098E+15,0
7.46073E+16,2.3758E+15,2.5223E+15,7.27744E+15,3.16562E+16,3.77682E+15,5.91462E+16,620441831810599,3.94901E+15,0
,1.90047E+16,1.83274E+15,7.89876E+15,3.54419E+16,4.45928E+16,1.29022E+16,6.34566E+16,4.54358E+15,0
7.22017E+15,2.04768E+16,1.56581E+16,3.84273E+15,,4.07375E+16,1.51506E+16,6.49891E+15,4.39869E+15,0
8.79085E+15,1.8744E+16,7.85064E+15,6.35994E+15,,3.84921E+15,1.67224E+15,7.79027E+15,3.48027E+16,0
,1.98234E+16,2.64862E+16,6.47296E+15,,4.72694E+15,1.10322E+16,6.37298E+15,4.14861E+16,0
,2.19013E+15,2.94334E+15,9.38406E+15,3.02767E+15,42643072016026,1.73075E+16,7.00603E+15,5.77661E+15,0
9.04917E+15,1.69509E+16,4.34336E+15,5.78082E+16,3.867E+15,4.71925E+15,1.61706E+15,6.27221E+15,2.814E+16,0
9.51514E+15,1.99081E+16,9.08282E+15,5.97655E+15,3.67231E+16,5.01447E+16,1.28771E+15,5.57707E+16,3.81289E+16,0
6.14524E+15,2.13176E+16,2.04173E+16,6.24374E+15,,4.35377E+16,2.35148E+16,8.12991E+15,4.09094E+15,0
7.49421E+15,2.10347E+16,2.92525E+16,5.9227E+15,3.39847E+15,4.45061E+15,1.69171E+16,8.48685E+15,5.4927E+15,0
7.09189E+15,2.21191E+15,2.90912E+15,513496039732876,,5.1506E+15,1.95783E+15,6.26273E+15,5.11641E+15,0
6.62457E+15,1.72055E+15,1.48773E+16,7.07993E+15,3.38441E+16,4.05818E+16,1.56561E+16,5.85605E+16,4.33372E+15,0
6.03219E+15,2.00421E+16,3.28822E+15,6.51652E+15,3.52019E+16,3.49982E+16,1.41048E+16,4.33768E+15,3.42383E+16,0
6.3441E+15,1.64817E+16,1.49733E+15,1.0707E+16,3.16144E+15,3.37219E+16,1.94117E+16,6.4385E+15,3.84348E+16,0
,2.09766E+15,2.73828E+16,7.43231E+15,3.23956E+16,3.01203E+16,1.39707E+16,627385941138006,4.10344E+15,0
7.45914E+15,2.177E+16,1.94365E+16,4.63912E+15,3.52424E+15,494094338815866,1.44603E+15,5.71962E+16,3.84105E+15,0
6.36167E+15,1.75044E+15,2.58339E+15,8.24378E+15,3.33947E+16,3.02191E+15,1.05586E+16,7.01077E+15,3.68177E+16,0
9.01159E+15,2.2892E+16,2.52082E+16,6.76701E+15,,3.80145E+16,1.55183E+16,,2.89729E+15,0
7.46621E+15,2.23184E+15,1.82617E+15,5.2066E+15,,4.56262E+15,1.40235E+16,9.91303E+15,2.08185E+16,0
57398163326022,189827788557758,1.58254E+15,8.11014E+15,3.13057E+15,4.25017E+15,1.48992E+16,813739067620203,2.72257E+16,0
7.78511E+15,1.74889E+16,1.34043E+16,7.51781E+15,,4.91432E+16,1.38255E+15,7.50594E+15,4.90461E+15,0
7.13859E+15,1.80904E+15,9.72765E+15,5.70643E+15,,3.99955E+16,1.59524E+16,6.77028E+15,3.27243E+15,0
8.80518E+15,1.57232E+16,4.72865E+15,8.84826E+15,3.56774E+16,2.9928E+16,9.43993E+15,6.16406E+15,517620506921009,0
8.00303E+15,1.86463E+16,1.50073E+16,7.69732E+15,3.55726E+15,5.61613E+15,1.01532E+16,6.70004E+15,3.13755E+16,0
7.15734E+15,2.1401E+16,2.37186E+15,3.92437E+16,343764376878261,5.069E+16,1.5446E+16,,5.18362E+15,0
642736514447551,2.02945E+16,2.09203E+15,5.52762E+15,3.38582E+16,3.32613E+16,1.2809E+16,7.51013E+15,3.56882E+15,0
6.12467E+15,1.7958E+16,2.79516E+16,8.07563E+15,3.03647E+15,4.67172E+16,1.38351E+16,6.90175E+15,3.63101E+16,0
845790103691031,2.28732E+15,1.60616E+16,4.14249E+15,3.56305E+16,3.70712E+16,1.40617E+15,8.23647E+15,4.91428E+16,0
5.7722E+15,2.00145E+16,2.78407E+16,7.13224E+15,3.18643E+15,4.14015E+16,1.55501E+15,6.25213E+15,3.07899E+16,0
,2.20976E+16,1.15624E+16,6.03339E+15,3.59187E+15,4.06466E+15,1.41493E+15,5.93732E+15,4.58916E+15,0
6.76079E+15,1.92143E+16,1.90899E+15,4.36452E+15,3.45019E+15,4.57555E+15,1.32725E+16,,4.90549E+15,0
7.89505E+15,1.74693E+16,1.04653E+16,7.66832E+15,3.50535E+15,4.72043E+15,1.46339E+16,6.08622E+15,3.08443E+15,0
857673992840484,2.2115E+16,2.48973E+15,6.22263E+15,3.41809E+16,3.89293E+16,1.59521E+16,3.60826E+15,3.91611E+16,0
5.59673E+15,2.29295E+16,4.46524E+15,6.50095E+15,3.23999E+16,4.24257E+15,1.23618E+15,404120976909975,3.82616E+16,0
8.14563E+15,2.18441E+16,3.13503E+15,5.50765E+15,3.34645E+16,3.7667E+16,1.48863E+15,5.24158E+16,4.30755E+16,0
6.6655E+15,2.22488E+16,2.53199E+16,4.97096E+15,3.3906E+15,3.18564E+15,1.93687E+16,7.27168E+15,3.9285E+16,0
6.49907E+15,1.73769E+15,2.37348E+16,9.00906E+15,3.30165E+15,5.93562E+15,1.39863E+16,6.36939E+15,4.35588E+15,0
9.73589E+15,2.09762E+16,1.08972E+16,6.10657E+15,3.58193E+16,4.49368E+15,1.39116E+16,4.71002E+15,5.57321E+15,0
9.26828E+15,2.0436E+16,1.43335E+15,9.07013E+15,3.28298E+15,4.31475E+15,1.19348E+16,909017997166344,5.2557E+15,0
,1.80893E+16,1.77056E+16,6.22331E+16,3.50195E+15,4.47937E+16,1.0461E+16,3.20749E+16,3.99913E+16,0
1.00596E+16,1.75876E+16,5.23291E+15,9.67417E+15,,4.77984E+15,1.64705E+15,6.26046E+15,381878876006795,0
6.47589E+15,1.77295E+16,1.65328E+15,1.00966E+16,3.05249E+16,4.66649E+15,6.77615E+15,6.51465E+15,430611297137217,0
6.09613E+15,2.00646E+15,1.69326E+16,6.54221E+15,,4.0446E+16,9.06396E+15,840571005423194,2.95645E+16,0
6.29785E+15,2.14215E+16,210228350298754,7.25872E+15,3.31822E+15,4.34049E+15,1.58722E+16,6.48469E+15,1.68055E+16,0
5.2841E+15,1.85705E+16,2.65327E+15,6.13255E+15,3.2814E+16,5.43182E+15,1.73985E+16,4.70664E+15,4.80096E+15,0
8.26994E+15,1.92004E+15,1.18892E+16,8.37723E+15,3.45987E+15,4.05341E+16,1.73957E+16,8.5445E+15,3.07648E+15,0
6.03957E+16,2.46693E+16,3.9489E+16,3.19497E+16,,3.57986E+16,1.32394E+16,7.84045E+15,4.20684E+15,0
6.24328E+15,1.71104E+15,1.9605E+16,8.26823E+15,,5.12895E+15,1.72184E+15,5.36097E+15,3.47284E+15,0
8.2141E+15,1.92177E+16,1.28199E+15,7.53602E+15,343477261505328,4.18679E+15,1.33526E+15,8.69781E+15,3.38186E+16,0
,2.05639E+15,3.9743E+16,466052847082034,3.23956E+16,5.09546E+15,1.16748E+15,5.50427E+15,3.91675E+16,0
,233020133595047,2.70711E+16,6.22094E+15,2.98113E+16,3.5712E+15,1.67689E+15,5.12844E+16,4.28488E+15,0
,2.20553E+15,2.81351E+15,797809811440548,3.07652E+16,4.21464E+16,1.75323E+15,8.68481E+15,3.56957E+16,0
9.83603E+15,2.30472E+16,1.61034E+16,5.59931E+15,,3.00062E+15,1.43837E+16,6.19393E+15,4.21912E+15,0
8.71976E+15,2.19779E+16,3.06811E+16,726876508884632,3.40918E+16,4.81853E+15,9.15121E+15,5.01786E+15,2.88773E+15,0
7.0096E+15,2.20562E+16,1.86287E+16,6.78168E+16,,3.97996E+16,1.48087E+15,777635337907762,3.12194E+15,0
6.49264E+15,1.72864E+15,1.46256E+16,7.73657E+15,3.49404E+16,6.52538E+15,1.02121E+16,5.69497E+15,4.66777E+15,0
7.81452E+16,1.80347E+16,1.75167E+15,7.48901E+15,3.52277E+15,3.70011E+15,1.42893E+15,8.08824E+15,2.9017E+15,0
9.65256E+15,205206058601135,8.50815E+15,4.94542E+15,38654118470183,3.92767E+16,1.24465E+16,5.3898E+16,3.19257E+15,0
8.00754E+15,1.51736E+16,8.86469E+15,1.12515E+16,,4.47484E+15,1.24127E+16,,5.25017E+15,0
,1.7055E+16,1.75613E+16,8.32021E+15,3.49292E+15,3.74464E+16,1.09891E+16,7.37014E+15,3.71666E+15,0
,2.04735E+15,3.37981E+15,6.57816E+15,,4.26081E+15,1.39402E+16,6.90517E+15,3.84513E+16,0
7.38684E+15,1.89596E+15,2.91227E+16,8.42076E+15,3.21568E+15,4.58044E+15,1.71969E+15,5.67699E+15,4.81671E+15,0
5.49758E+15,2.04683E+16,2.94934E+15,760413034942968,3.23609E+16,4.76844E+15,1.66724E+16,8.34138E+15,5.06011E+15,0
6.05783E+15,2.30718E+16,4.48685E+15,6.44339E+15,,3.97237E+15,1.40379E+16,7.67016E+15,3.29225E+16,0
,2.22821E+16,2.38792E+15,5.08236E+15,,3.82758E+16,1.58561E+16,662704766771235,4.23517E+15,0
6.26895E+15,1.85707E+16,2.47695E+16,6.71767E+15,3.18228E+16,5.34541E+15,1.36289E+16,6.91392E+15,4.6745E+16,0
,1.90929E+16,2.06614E+16,1.01755E+16,2.99346E+16,4.71063E+16,9.22599E+15,6.00235E+15,4.96915E+15,0
6.28498E+15,1.96775E+16,2.92136E+15,852879260890159,3.34478E+15,5.74541E+15,1.10959E+16,,570328774274241,0
9.0431E+15,1.81567E+16,827359197053936,6.70104E+16,,3.72551E+16,9.76236E+15,652163378646853,4.0085E+15,0
8.52306E+15,2.01608E+16,2.42073E+15,7.22072E+15,,4.36626E+15,1.57406E+16,6.33105E+16,5.11238E+15,0
,1.83465E+15,1.99989E+15,7.15189E+15,3.3754E+16,2.94847E+16,1.00887E+16,6.62992E+15,4.18332E+15,0
,1.934E+15,3.06308E+16,6.87357E+15,3.42193E+16,4.30396E+16,1.74468E+16,4.98837E+15,2.91305E+15,0
4.02905E+15,2.03387E+16,4.23272E+15,8.55048E+15,2.79675E+16,5.03732E+15,1.37588E+16,463840637682621,4.17966E+15,0
6.41271E+15,2.04358E+16,3.23338E+16,5.20408E+15,3.45718E+16,3.89215E+15,1.1145E+15,9.12049E+15,5014144884495,0
6.27629E+15,1.84952E+16,2.86535E+15,6.51943E+15,3.35258E+15,4.7043E+16,1.11985E+16,,4.34276E+15,0
7.64888E+15,1.88507E+16,225109750698624,8.61721E+15,,3.93294E+15,1.28545E+16,7.33135E+15,4.95353E+15,0
5.54818E+15,2.0426E+16,3.99978E+16,7.02723E+15,3.19203E+16,4.31972E+15,1.54004E+15,4.19523E+15,3.94546E+16,0
,2.16676E+16,1.78703E+15,6.61339E+15,3.38416E+15,4.38132E+16,1.54415E+15,832727357518898,2.60496E+15,0
7.46862E+16,2.40345E+16,3.6702E+15,4.53641E+15,3.39221E+15,4.53211E+15,1.61065E+16,6.79525E+15,3.38418E+15,0
,1.79149E+15,2.10514E+16,8.88785E+15,296949069652605,418269806221273,1.88005E+15,9.2096E+15,3.7647E+16,0
7.91815E+16,2.14187E+16,2.38235E+16,7.29088E+15,3.41173E+16,4.11424E+15,195850018943529,2.50574E+15,4.02896E+15,0
,1.91764E+15,1.08308E+15,6.36289E+15,,4.922E+15,1.72916E+16,4.32725E+15,426677539510979,0
,1.81375E+15,1.45798E+16,5.43506E+16,,3.08793E+16,9.54509E+15,6.02146E+15,4.16175E+15,0
5.43324E+15,2.01781E+16,3.11571E+16,7.28639E+15,3.04425E+15,451557177709948,1.08421E+16,8.7634E+15,3.67572E+15,0
8.33951E+15,2.02202E+15,2.12957E+16,5.61812E+15,,4.2895E+15,1.54914E+16,813153266808257,4.8277E+15,0
6.71572E+15,1.95191E+16,1.99667E+16,7.7447E+15,3.54209E+15,4.11796E+15,1.73231E+16,6.79817E+15,2.44301E+15,0
